Seq-ID,Local ID,Genus,Species,Origin,GPS coordinates (latitude),GPS coordinates (longitude),Sex
PD_0498,23 / 31SNM1201115,Papio,anubis,"Serengeti, Tanzania",S02.18847,E034.11523,M
PD_0499,24 / 32SNF1201115,Papio,anubis,"Serengeti, Tanzania",S02.18657,E034.10915,F
PD_0500,25 / 33SNF1201115,Papio,anubis,"Serengeti, Tanzania",S02.18312,E034.10040,F
PD_0501,26 / 37SNF1221115,Papio,anubis,"Serengeti, Tanzania",S02.19155,E033.87475,F
PD_0502,38 / 10NCM8170516,Papio,anubis,"Ngorongoro, Tanzania",S03.29935,E035.59226,M
PD_0503,44 / 14RUF5130716,Papio,cynocephalus,"Ruaha, Tanzania",S07.59978,E034.90537,F
PD_0504,56 / 13GNM1210916,Papio,anubis,"Gombe, Tanzania",S04.73325 ,E029.60915,M
PD_0505,57 / 19GNM2220916,Papio,anubis,"Gombe, Tanzania",S04.67816 ,E029.62085,M
PD_0506,58 / 20GNF5220916,Papio,anubis,"Gombe, Tanzania",S04.67811 ,E029.62168,F
PD_0507,59 / 21GNF1220916,Papio,anubis,"Gombe, Tanzania",S04.67817,E029.62083,F
PD_0508,60 / 22GNM1220916,Papio,anubis,"Gombe, Tanzania",S04.67841 ,E029.62178,M
PD_0509,61 / 23GNF1220916,Papio,anubis,"Gombe, Tanzania",S04.62763 ,E029.63499,F
PD_0637,9 / 5MKM1130715,Papio,cynocephalus,"Mikumi, Tanzania",S07.36738,E037.04478,M
PD_0641,31 / 15TNF2261215,Papio,anubis,"Tarangire, Tanzania",S03.79297,E035.95868,F
PD_0642,32 / 23TNM1311215,Papio,anubis,"Tarangire, Tanzania",S03.78770,E036.04482,M
PD_0649,62 / 24GNF1220916,Papio,anubis,"Gombe, Tanzania",S04.62806,E029.63440,F
PD_0650,63 / 26GNM1230916,Papio,anubis,"Gombe, Tanzania",S04.67113 ,E029.62853,M
PD_0651,64 / 28GNF1230916,Papio,anubis,"Gombe, Tanzania",S04.67092 ,E029.62859,F
PD_0652,65 / 30GNF1230916,Papio,anubis,"Gombe, Tanzania",S04.67112 ,E029.62763,F
PD_0653,66 / 32GNF1230916,Papio,anubis,"Gombe, Tanzania",S04.67257 ,E029.63104,F
PD_0654,67 / 33GNM1230916,Papio,anubis,"Gombe, Tanzania",S04.67255 ,E029.63106,M
PD_0658,79 / 08MNM1011016,Papio,cynocephalus,"Mahale, Tanzania",S06.12868 ,E029.73221,M
PD_0659,81 / 13MNF1031016,Papio,cynocephalus,"Mahale, Tanzania",S06.03667,E029.74191,F
PD_0662,85 / 01UGF5101016,Papio,cynocephalus,"Issa Valley, Tanzania",S05.50952 ,E030.56185,F
PD_0674,102 / 04LMF8160815,Papio,anubis,"Lake Manyara, Tanzania",S03.39010,E035.82521,F
PD_0675,103 / 06LMF5170815,Papio,anubis,"Lake Manyara, Tanzania",S03.44967,E035.79568,F
PD_0676,104 / 07LMF5170815,Papio,anubis,"Lake Manyara, Tanzania",S03.37627,E035.83327,F
PD_0677,105 / 11LMF5200815,Papio,anubis,"Lake Manyara, Tanzania",S03.38924,E035.82561,F
PD_0678,106 / 12LMF2210815,Papio,anubis,"Lake Manyara, Tanzania",S03.38903,E035.82445,F
PD_0679,107 / 13LMM8210815,Papio,anubis,"Lake Manyara, Tanzania",S03.38853,E035.82323,M
PD_0680,108 / 14LMF5220815,Papio,anubis,"Lake Manyara, Tanzania",S03.40577,E035.81279,F
