study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA755322	SAMN20815099	SRX11910877	SRR15613860	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/060/SRR15613860/SRR15613860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/060/SRR15613860/SRR15613860_2.fastq.gz	AMB_426
PRJNA755322	SAMN20815146	SRX11910876	SRR15613861	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/061/SRR15613861/SRR15613861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/061/SRR15613861/SRR15613861_2.fastq.gz	AMB_425
PRJNA755322	SAMN20815150	SRX11910874	SRR15613863	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/063/SRR15613863/SRR15613863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/063/SRR15613863/SRR15613863_2.fastq.gz	AMB_423
PRJNA755322	SAMN20814959	SRX11910873	SRR15613864	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/064/SRR15613864/SRR15613864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/064/SRR15613864/SRR15613864_2.fastq.gz	AMB_422
PRJNA755322	SAMN20815005	SRX11910914	SRR15613823	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/023/SRR15613823/SRR15613823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/023/SRR15613823/SRR15613823_2.fastq.gz	AMB_333
PRJNA755322	SAMN20815021	SRX11910872	SRR15613865	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/065/SRR15613865/SRR15613865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/065/SRR15613865/SRR15613865_2.fastq.gz	AMB_323
PRJNA755322	SAMN20814986	SRX11910869	SRR15613868	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/068/SRR15613868/SRR15613868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/068/SRR15613868/SRR15613868_2.fastq.gz	AMB_419
PRJNA755322	SAMN20815202	SRX11910912	SRR15613825	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/025/SRR15613825/SRR15613825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/025/SRR15613825/SRR15613825_2.fastq.gz	AMB_140
PRJNA755322	SAMN20815232	SRX11910867	SRR15613870	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/070/SRR15613870/SRR15613870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/070/SRR15613870/SRR15613870_2.fastq.gz	AMB_417
PRJNA755322	SAMN20815212	SRX11910866	SRR15613871	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/071/SRR15613871/SRR15613871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/071/SRR15613871/SRR15613871_2.fastq.gz	AMB_416
PRJNA755322	SAMN20815295	SRX11910911	SRR15613826	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/026/SRR15613826/SRR15613826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/026/SRR15613826/SRR15613826_2.fastq.gz	AMB_331
PRJNA755322	SAMN20815082	SRX11910910	SRR15613827	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/027/SRR15613827/SRR15613827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/027/SRR15613827/SRR15613827_2.fastq.gz	AMB_330
PRJNA755322	SAMN20814950	SRX11910864	SRR15613873	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/073/SRR15613873/SRR15613873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/073/SRR15613873/SRR15613873_2.fastq.gz	AMB_414
PRJNA755322	SAMN20814937	SRX11910909	SRR15613828	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/028/SRR15613828/SRR15613828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/028/SRR15613828/SRR15613828_2.fastq.gz	AMB_329
PRJNA755322	SAMN20814957	SRX11910862	SRR15613875	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/075/SRR15613875/SRR15613875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/075/SRR15613875/SRR15613875_2.fastq.gz	AMB_412
PRJNA755322	SAMN20814906	SRX11910906	SRR15613831	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/031/SRR15613831/SRR15613831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/031/SRR15613831/SRR15613831_2.fastq.gz	MIK_014
PRJNA755322	SAMN20814903	SRX11910902	SRR15613835	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/035/SRR15613835/SRR15613835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/035/SRR15613835/SRR15613835_2.fastq.gz	MIK_011
PRJNA755322	SAMN20814934	SRX11910859	SRR15613878	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/078/SRR15613878/SRR15613878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/078/SRR15613878/SRR15613878_2.fastq.gz	AMB_010
PRJNA755322	SAMN20814899	SRX11910898	SRR15613839	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/039/SRR15613839/SRR15613839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/039/SRR15613839/SRR15613839_2.fastq.gz	MIK_006
